"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","FTP Path to Experiment","Library Name","Library Strategy","Library Source","Library Selection"
"SRX549831","GSM1396124: Single cell mRNA-seq_CSC6_E06; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617738","","0.3","1","7294","364700","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549831","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549830","GSM1396123: Single cell mRNA-seq_CSC6_E05; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617737","","0.14","1","2711","135550","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549830","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549829","GSM1396122: Single cell mRNA-seq_CSC6_E04; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617736","","0.28","1","6897","344850","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549829","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549828","GSM1396121: Single cell mRNA-seq_CSC6_E03; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617735","","0.42","1","10650","532500","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549828","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549827","GSM1396120: Single cell mRNA-seq_CSC6_E02; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617734","","0.27","1","6359","317950","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549827","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549826","GSM1396119: Single cell mRNA-seq_CSC6_E01; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617733","","0.59","1","15393","769650","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549826","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549825","GSM1396118: Single cell mRNA-seq_CSC6_D12; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617732","","248.71","1","7026285","351314250","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549825","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549824","GSM1396117: Single cell mRNA-seq_CSC6_D11; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617731","","154.16","1","4347602","217380100","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549824","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549823","GSM1396116: Single cell mRNA-seq_CSC6_D10; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617730","","244.56","1","6809628","340481400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549823","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549822","GSM1396115: Single cell mRNA-seq_CSC6_D09; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617729","","183.79","1","5211026","260551300","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549822","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549821","GSM1396114: Single cell mRNA-seq_CSC6_D08; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617728","","184.47","1","5144069","257203450","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549821","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549820","GSM1396113: Single cell mRNA-seq_CSC6_D07; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617727","","165.47","1","4608724","230436200","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549820","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549819","GSM1396112: Single cell mRNA-seq_CSC6_D06; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617726","","4.8","1","127230","6361500","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549819","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549818","GSM1396111: Single cell mRNA-seq_CSC6_D05; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617725","","12.96","1","345494","17274700","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549818","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549817","GSM1396110: Single cell mRNA-seq_CSC6_D04; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617724","","162.81","1","4590467","229523350","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549817","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549816","GSM1396109: Single cell mRNA-seq_CSC6_D03; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617723","","171.57","1","4774396","238719800","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549816","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549815","GSM1396108: Single cell mRNA-seq_CSC6_D02; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617722","","39.32","1","1059854","52992700","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549815","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549814","GSM1396107: Single cell mRNA-seq_CSC6_D01; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617721","","162.6","1","4548108","227405400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549814","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549813","GSM1396106: Single cell mRNA-seq_CSC6_C12; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617720","","195.96","1","5536512","276825600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549813","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549812","GSM1396105: Single cell mRNA-seq_CSC6_C11; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617718","","178.54","1","5065888","253294400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549812","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549811","GSM1396104: Single cell mRNA-seq_CSC6_C10; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617719","","137.5","1","3847222","192361100","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549811","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549810","GSM1396103: Single cell mRNA-seq_CSC6_C09; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617717","","164.59","1","4704009","235200450","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549810","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549809","GSM1396102: Single cell mRNA-seq_CSC6_C08; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617716","","59.87","1","1625970","81298500","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549809","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549808","GSM1396101: Single cell mRNA-seq_CSC6_C07; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617715","","180.59","1","5084512","254225600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549808","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549807","GSM1396100: Single cell mRNA-seq_CSC6_C06; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617714","","54.28","1","1501318","75065900","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549807","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549806","GSM1396099: Single cell mRNA-seq_CSC6_C05; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617713","","148.35","1","4221084","211054200","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549806","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549805","GSM1396098: Single cell mRNA-seq_CSC6_C04; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617712","","130.74","1","3713770","185688500","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549805","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549804","GSM1396097: Single cell mRNA-seq_CSC6_C03; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617711","","163.83","1","4598814","229940700","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549804","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549803","GSM1396096: Single cell mRNA-seq_CSC6_C02; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617710","","119.75","1","3366734","168336700","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549803","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549802","GSM1396095: Single cell mRNA-seq_CSC6_C01; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617709","","101.56","1","2857997","142899850","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549802","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549801","GSM1396094: Single cell mRNA-seq_CSC6_B12; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617708","","205.96","1","5849092","292454600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549801","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549800","GSM1396093: Single cell mRNA-seq_CSC6_B11; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617706","","22.45","1","608378","30418900","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549799","GSM1396092: Single cell mRNA-seq_CSC6_B10; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617707","","203.5","1","5722028","286101400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549799","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549798","GSM1396091: Single cell mRNA-seq_CSC6_B09; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617705","","234.61","1","6718052","335902600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549798","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549797","GSM1396090: Single cell mRNA-seq_CSC6_B08; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617704","","20.93","1","553703","27685150","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549797","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549796","GSM1396089: Single cell mRNA-seq_CSC6_B07; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617703","","259.84","1","7329054","366452700","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549796","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549795","GSM1396088: Single cell mRNA-seq_CSC6_B06; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617702","","185.29","1","5296607","264830350","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549795","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549794","GSM1396087: Single cell mRNA-seq_CSC6_B05; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617701","","200.35","1","5724734","286236700","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549794","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549793","GSM1396086: Single cell mRNA-seq_CSC6_B04; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617700","","17.56","1","473945","23697250","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549793","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549792","GSM1396085: Single cell mRNA-seq_CSC6_B03; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617699","","95.01","1","2628357","131417850","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549792","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549791","GSM1396084: Single cell mRNA-seq_CSC6_B02; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617698","","166.8","1","4702239","235111950","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549791","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549790","GSM1396083: Single cell mRNA-seq_CSC6_B01; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617697","","193.46","1","5466224","273311200","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549790","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549789","GSM1396082: Single cell mRNA-seq_CSC6_A12; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617696","","309.88","1","8771260","438563000","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549789","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549788","GSM1396081: Single cell mRNA-seq_CSC6_A11; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617695","","204.19","1","5773028","288651400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549788","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549787","GSM1396080: Single cell mRNA-seq_CSC6_A10; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617694","","185.28","1","5173812","258690600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549787","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549786","GSM1396079: Single cell mRNA-seq_CSC6_A09; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617693","","22.16","1","596687","29834350","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549786","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549785","GSM1396078: Single cell mRNA-seq_CSC6_A08; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617692","","212.46","1","5955208","297760400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549785","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549784","GSM1396077: Single cell mRNA-seq_CSC6_A07; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617691","","3.22","1","81461","4073050","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549784","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549783","GSM1396076: Single cell mRNA-seq_CSC6_A06; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617690","","6.17","1","163948","8197400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549783","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549782","GSM1396075: Single cell mRNA-seq_CSC6_A05; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617689","","184.36","1","5218553","260927650","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549782","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549781","GSM1396074: Single cell mRNA-seq_CSC6_A04; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617688","","196.6","1","5562439","278121950","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549781","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549780","GSM1396073: Single cell mRNA-seq_CSC6_A03; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617687","","36.88","1","993832","49691600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549780","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549779","GSM1396072: Single cell mRNA-seq_CSC6_A02; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617686","","38.11","1","1036852","51842600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549779","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549778","GSM1396071: Single cell mRNA-seq_CSC6_A01; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617685","","27.72","1","739285","36964250","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549778","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549777","GSM1396070: Single cell mRNA-seq_MGH30L_H12; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617684","","344.92","1","3438518","687703600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549777","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549776","GSM1396069: Single cell mRNA-seq_MGH30L_H11; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617683","","271.28","1","2682823","536564600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549776","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549775","GSM1396068: Single cell mRNA-seq_MGH30L_H10; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617682","","183.08","1","1782992","356598400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549775","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549774","GSM1396067: Single cell mRNA-seq_MGH30L_H09; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617681","","373.69","1","3701038","740207600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549774","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549773","GSM1396066: Single cell mRNA-seq_MGH30L_H08; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617680","","325.83","1","3189863","637972600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549773","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549772","GSM1396065: Single cell mRNA-seq_MGH30L_H07; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617679","","294.59","1","2874483","574896600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549772","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549771","GSM1396064: Single cell mRNA-seq_MGH30L_H06; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617678","","295.28","1","2944955","588991000","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549771","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549770","GSM1396063: Single cell mRNA-seq_MGH30L_H05; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617677","","258.6","1","2561513","512302600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549770","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549769","GSM1396062: Single cell mRNA-seq_MGH30L_H04; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617676","","285.45","1","2830520","566104000","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549769","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
